Attrition_Flag,Customer_Age,Gender,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Avg_Open_To_Buy,Avg_Utilization_Ratio,Attrition E,Gender E
Existing Customer,45,M,3,39,5,1,3,11914,0.061,0,0
Existing Customer,49,F,5,44,6,1,2,7392,0.105,0,1
Existing Customer,51,M,3,36,4,1,0,3418,0,0,0
Existing Customer,40,F,4,34,3,4,1,796,0.76,0,1
Existing Customer,40,M,3,21,5,1,0,4716,0,0,0
Existing Customer,44,M,2,36,3,1,2,2763,0.311,0,0
Existing Customer,51,M,4,46,6,1,3,32252,0.066,0,0
Existing Customer,32,M,0,27,2,2,2,27685,0.048,0,0
Existing Customer,37,M,3,36,5,2,0,19835,0.113,0,0
Existing Customer,48,M,2,36,6,3,3,9979,0.144,0,0
Existing Customer,42,M,5,31,5,3,2,5281,0.217,0,0
Existing Customer,65,M,1,54,6,2,3,7508,0.174,0,0
Existing Customer,56,M,1,36,3,6,0,11751,0,0,0
Existing Customer,35,M,3,30,5,1,3,6881,0.195,0,0
Existing Customer,57,F,2,48,5,2,2,1756,0.279,0,1
Existing Customer,44,M,4,37,5,1,2,3262,0.23,0,0
Existing Customer,48,M,4,36,6,2,3,28005,0.078,0,0
Existing Customer,41,M,3,34,4,4,1,12244,0.095,0,0
Existing Customer,61,M,1,56,2,2,3,676,0.788,0,0
Existing Customer,45,F,2,37,6,1,2,13313,0.08,0,1
Existing Customer,47,M,1,42,5,2,0,19179,0.086,0,0
Attrited Customer,62,F,0,49,2,3,3,1438.3,0,1,1
Existing Customer,41,M,3,33,4,2,1,3790,0.152,0,0
Existing Customer,47,F,4,36,3,3,2,932,0.626,0,1
Existing Customer,54,M,2,42,4,2,3,12217,0,0,0
Existing Customer,41,F,3,28,6,1,2,6099,0.215,0,1
Existing Customer,59,M,1,46,4,1,2,13410,0.093,0,0
Existing Customer,63,M,1,56,3,3,2,9205,0.099,0,0
Existing Customer,44,F,3,34,5,2,2,10100,0,0,1
Existing Customer,47,M,4,42,6,0,0,3423,0.285,0,0
Existing Customer,53,M,3,33,3,2,3,942,0.658,0,0
Existing Customer,53,M,2,48,2,5,1,761,0.69,0,0
Existing Customer,41,M,4,36,4,1,2,6406,0.282,0,0
Existing Customer,53,F,2,38,5,2,3,1160,0.562,0,1
Existing Customer,58,M,0,49,6,2,2,10859,0.135,0,0
Existing Customer,55,F,1,36,4,2,1,1606,0.544,0,1
Existing Customer,55,F,3,36,6,2,3,737,0.757,0,1
Existing Customer,42,F,4,36,2,3,3,15433,0,0,1
Existing Customer,57,F,1,49,3,3,2,2786,0.241,0,1
Attrited Customer,66,F,0,56,5,4,3,7277,0.077,1,1
Existing Customer,45,M,3,41,2,2,2,31848,0.018,0,0
Existing Customer,51,M,2,44,4,1,0,4001,0.355,0,0
Existing Customer,50,F,1,43,3,2,3,14787,0.145,0,1
Existing Customer,49,M,3,37,5,2,1,3906,0,0,0
Existing Customer,38,F,4,28,2,3,3,7775,0.209,0,1
Existing Customer,49,M,4,30,3,2,3,34516,0,0,0
Existing Customer,56,M,2,45,6,2,0,853,0.626,0,0
Existing Customer,59,M,1,52,3,2,2,528,0.793,0,0
Existing Customer,46,M,3,40,4,3,3,18023,0.074,0,0
Existing Customer,52,M,1,40,5,1,1,3518,0.259,0,0
Existing Customer,52,F,3,41,6,3,2,1073,0.591,0,1
Attrited Customer,54,F,1,40,2,3,1,630.3,0.562,1,1
Existing Customer,66,F,0,54,3,4,2,992,0.687,0,1
Existing Customer,49,M,2,36,4,2,0,17246,0.127,0,0
Attrited Customer,56,M,2,36,1,3,3,15769,0,1,0
Existing Customer,49,F,4,36,6,4,2,1098,0.667,0,1
Existing Customer,49,F,3,36,2,2,0,439,0.843,0,1
Existing Customer,56,M,2,50,4,2,3,2578,0.422,0,0
Existing Customer,44,F,5,35,4,1,2,5295,0.156,0,1
Existing Customer,42,M,2,34,4,4,3,1583,0.525,0,0
Existing Customer,55,M,3,47,4,2,3,1420,0.587,0,0
Attrited Customer,48,M,2,35,2,4,4,34516,0,1,0
Existing Customer,39,M,1,33,5,3,3,4675,0.211,0,0
Existing Customer,44,M,4,32,2,4,2,21855,0.088,0,0
Existing Customer,53,M,2,44,4,2,2,13100,0.111,0,0
Existing Customer,51,M,4,38,4,1,4,33001,0.044,0,0
